year,make,model,price,mileage,color,url,body_type
2024,Toyota,Sienna,49888,59000,black,https://www.carpages.ca/used-cars/ontario/guelph/2024-toyota-sienna-12875048/,Minivan
2019,Dodge,Grand,21995,165620,blue,https://www.carpages.ca/used-cars/ontario/elmvale/2019-dodge-grand-caravan-12872675/,Minivan
2013,Dodge,Grand,10895,132407,blue,https://www.carpages.ca/used-cars/ontario/scarborough/2013-dodge-grand-caravan-12872567/,Minivan
2021,Chrysler,Pacifica,29999,160531,granite,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-chrysler-pacifica-12870950/,Minivan
2026,Chrysler,Pacifica,55746,20,white,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-chrysler-pacifica-12869537/,Minivan
2026,Dodge,Grand,50594,20,white,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-dodge-grand-caravan-12869534/,Minivan
2026,Dodge,Grand,51593,20,white,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-dodge-grand-caravan-12869531/,Minivan
2026,RAM,Cargo,65590,20,white,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-ram-cargo-van-12869519/,Minivan
2026,Chrysler,Pacifica,67079,55,white,https://www.carpages.ca/new-cars/northwest-territories/yellowknife/2026-chrysler-pacifica-12869441/,Minivan
2023,GMC,Savana,42995,26585,white,https://www.carpages.ca/used-cars/ontario/brantford/2023-gmc-savana-cargo-van-12868652/,Minivan
2011,Dodge,Grand,2499,296594,white,https://www.carpages.ca/used-cars/ontario/kitchener/2011-dodge-grand-caravan-12868637/,Minivan
2010,Toyota,Sienna,6999,254226,gold,https://www.carpages.ca/used-cars/ontario/kitchener/2010-toyota-sienna-12868634/,Minivan
2021,Chrysler,Grand,18999,218720,black,https://www.carpages.ca/used-cars/ontario/oshawa/2021-chrysler-grand-caravan-12868214/,Minivan
2019,Ford,Transit,19988,150546,Other,https://www.carpages.ca/used-cars/alberta/calgary/2019-ford-transit-connect-12867779/,Minivan
2025,Ford,Transit,65745,19,white,https://www.carpages.ca/new-cars/alberta/lacombe/2025-ford-transit-12866429/,Minivan
2021,Chrysler,Pacifica,34800,95000,gray,https://www.carpages.ca/used-cars/manitoba/headingley/2021-chrysler-pacifica-12865103/,Minivan
2026,Dodge,Grand,50690,20,black,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-dodge-grand-caravan-12864248/,Minivan
2016,Ford,Transit,17985,169000,Other,https://www.carpages.ca/used-cars/ontario/toronto/2016-ford-transit-cargo-van-12863459/,Minivan
2017,Mercedes-Benz,Sprinter,23800,207120,white,https://www.carpages.ca/used-cars/ontario/toronto/2017-mercedes-benz-sprinter-12863399/,Minivan
2025,Ford,Transit,80100,0,oxford,https://www.carpages.ca/new-cars/british-columbia/vernon/2025-ford-transit-12861767/,Minivan
2024,Mercedes-Benz,Sprinter,50998,29435,white,https://www.carpages.ca/used-cars/ontario/bolton/2024-mercedes-benz-sprinter-12861296/,Minivan
2025,Ford,Transit,70622,28,white,https://www.carpages.ca/new-cars/ontario/kingston/2025-ford-transit-12861044/,Minivan
2013,Dodge,Grand,11990,112382,gray,https://www.carpages.ca/used-cars/ontario/woodbridge/2013-dodge-grand-caravan-12857744/,Minivan
2024,Chrysler,Pacifica,74893,8680,white,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2024-chrysler-pacifica-12856235/,Minivan
2025,GMC,Savana,60093,5,white,https://www.carpages.ca/new-cars/saskatchewan/regina/2025-gmc-savana-12856196/,Minivan
2025,GMC,Savana,60093,5,white,https://www.carpages.ca/new-cars/saskatchewan/regina/2025-gmc-savana-12856175/,Minivan
2025,GMC,Savana,66669,3,white,https://www.carpages.ca/new-cars/british-columbia/burnaby/2025-gmc-savana-12855194/,Minivan
2015,Dodge,Grand,10995,193563,silver,https://www.carpages.ca/used-cars/ontario/sarnia/2015-dodge-grand-caravan-12853619/,Minivan
2022,Dodge,Grand,25995,160815,white,https://www.carpages.ca/used-cars/ontario/cayuga/2022-dodge-grand-caravan-12852914/,Minivan
2014,Dodge,Grand,7888,189112,maximum,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2014-dodge-grand-caravan-12851843/,Minivan
2020,Toyota,Sienna,30890,141620,white,https://www.carpages.ca/used-cars/ontario/burlington/2020-toyota-sienna-12851006/,Minivan
2025,Toyota,Sienna,57564,24,white,https://www.carpages.ca/new-cars/ontario/ottawa/2025-toyota-sienna-12849089/,Minivan
2016,Ford,Transit,29997,115175,white,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2016-ford-transit-cargo-van-12848540/,Minivan
2019,Chrysler,Pacifica,19988,231998,Other,https://www.carpages.ca/used-cars/alberta/calgary/2019-chrysler-pacifica-12847295/,Minivan
2013,Chevrolet,Express,19995,70506,green,https://www.carpages.ca/used-cars/british-columbia/langley/2013-chevrolet-express-12847247/,Minivan
2020,RAM,Cargo,32888,154995,white,https://www.carpages.ca/used-cars/ontario/mississauga/2020-ram-cargo-van-12846623/,Minivan
2011,Ford,Econoline,9190,201759,white,https://www.carpages.ca/used-cars/ontario/fenwick/2011-ford-econoline-12843727/,Minivan
2026,Chrysler,Pacifica,56489,20,white,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-chrysler-pacifica-12842944/,Minivan
2026,Chrysler,Pacifica,61484,55,red,https://www.carpages.ca/new-cars/northwest-territories/yellowknife/2026-chrysler-pacifica-12842905/,Minivan
2026,Dodge,Grand,50389,55,white,https://www.carpages.ca/new-cars/northwest-territories/yellowknife/2026-dodge-grand-caravan-12842896/,Minivan
2016,Dodge,Grand,9999,168979,white,https://www.carpages.ca/used-cars/ontario/newcastle/2016-dodge-grand-caravan-12841774/,Minivan
2023,Ford,Transit,43987,25480,blue,https://www.carpages.ca/used-cars/saskatchewan/moose-jaw/2023-ford-transit-connect-12841216/,Minivan
