year,make,model,price,mileage,color,url,body_type
2020,Kia,Rio,19988,55256,white,https://www.carpages.ca/used-cars/ontario/st-catharines/2020-kia-rio-13290806/,Hatchback
2023,Toyota,Prius,38888,15000,silver,https://www.carpages.ca/used-cars/ontario/guelph/2023-toyota-prius-13288829/,Hatchback
2024,Mazda,MAZDA3,29988,24138,gray,https://www.carpages.ca/used-cars/ontario/guelph/2024-mazda-mazda3-13288811/,Hatchback
2025,Mazda,MAZDA3,28195,0,blue,https://www.carpages.ca/new-cars/nova-scotia/dartmouth/2025-mazda-mazda3-13288742/,Hatchback
2014,Volkswagen,Jetta,12995,142136,gray,https://www.carpages.ca/used-cars/ontario/cambridge/2014-volkswagen-jetta-13288685/,Hatchback
2017,Subaru,Impreza,17995,28551,silver,https://www.carpages.ca/used-cars/ontario/cambridge/2017-subaru-impreza-13288616/,Hatchback
2011,Mercedes-Benz,B-Class,5999,137311,black,https://www.carpages.ca/used-cars/ontario/ajax/2011-mercedes-benz-b-class-13288469/,Hatchback
2022,Ford,Mustang,27495,78193,black,https://www.carpages.ca/used-cars/ontario/scarborough/2022-ford-mustang-mach-e-13288421/,Hatchback
2023,Kia,Soul,21995,59468,red,https://www.carpages.ca/used-cars/ontario/cayuga/2023-kia-soul-13288403/,Hatchback
2017,Kia,Soul,14995,120379,blue,https://www.carpages.ca/used-cars/saskatchewan/regina/2017-kia-soul-13288124/,Hatchback
2016,Toyota,Venza,16898,171613,gray,https://www.carpages.ca/used-cars/ontario/brampton/2016-toyota-venza-13288097/,Hatchback
2016,Volkswagen,Golf,16995,106000,gray,https://www.carpages.ca/used-cars/ontario/kingston/2016-volkswagen-golf-13288067/,Hatchback
2024,Subaru,Impreza,31988,24000,white,https://www.carpages.ca/used-cars/ontario/guelph/2024-subaru-impreza-13287998/,Hatchback
2025,Mazda,MAZDA3,42534,100,gray,https://www.carpages.ca/new-cars/ontario/greater-sudbury/2025-mazda-mazda3-13287854/,Hatchback
2026,Subaru,Impreza,34805,0,yellow,https://www.carpages.ca/new-cars/nova-scotia/halifax/2026-subaru-impreza-13287698/,Hatchback
2011,Kia,Soul,3022,232593,unknown,https://www.carpages.ca/used-cars/ontario/ajax/2011-kia-soul-13287428/,Hatchback
2011,Ford,Fiesta,500,303000,green,https://www.carpages.ca/used-cars/newfoundland-and-labrador/grand-falls-windsor/2011-ford-fiesta-13287371/,Hatchback
2026,Honda,Civic,34430,0,white,https://www.carpages.ca/new-cars/newfoundland-and-labrador/corner-brook/2026-honda-civic-13287320/,Hatchback
2020,Kia,Forte5,19995,93956,orange,https://www.carpages.ca/used-cars/ontario/niagara-falls/2020-kia-forte5-13287197/,Hatchback
2022,Volkswagen,Golf,29991,70085,red,https://www.carpages.ca/used-cars/ontario/kanata/2022-volkswagen-golf-13286960/,Hatchback
2018,Mazda,Cars,18495,85930,25d,https://www.carpages.ca/used-cars/british-columbia/vancouver/2018-mazda-cars-mazda3-sport-13286885/,Hatchback
2010,Mazda,Cars,9995,104924,38p,https://www.carpages.ca/used-cars/british-columbia/vancouver/2010-mazda-cars-mazda3-13286873/,Hatchback
2018,Mazda,MAZDA3,14995,84011,black,https://www.carpages.ca/used-cars/nova-scotia/halifax/2018-mazda-mazda3-13286849/,Hatchback
2020,Mazda,MAZDA3,16995,82069,gray,https://www.carpages.ca/used-cars/nova-scotia/halifax/2020-mazda-mazda3-13286846/,Hatchback
2015,Volkswagen,Golf,9999,120315,gray,https://www.carpages.ca/used-cars/ontario/waterdown/2015-volkswagen-golf-13286837/,Hatchback
2017,Honda,Civic,18995,141000,black,https://www.carpages.ca/used-cars/ontario/london/2017-honda-civic-13286825/,Hatchback
2016,Volkswagen,Golf,15998,70820,white,https://www.carpages.ca/used-cars/british-columbia/vancouver/2016-volkswagen-golf-13286726/,Hatchback
2024,Volkswagen,Golf,45988,33798,blue,https://www.carpages.ca/used-cars/ontario/whitby/2024-volkswagen-golf-13286690/,Hatchback
2020,Chevrolet,Spark,12888,95853,black,https://www.carpages.ca/used-cars/quebec/saint-hubert/2020-chevrolet-spark-13286642/,Hatchback
2022,MINI,Cooper,36800,59000,gray,https://www.carpages.ca/used-cars/manitoba/headingley/2022-mini-cooper-countryman-13286630/,Hatchback
2022,Kia,Rio,21923,18642,gray,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-kia-rio-13285916/,Hatchback
2016,Smart,fortwo,9900,142000,white,https://www.carpages.ca/used-cars/ontario/toronto/2016-smart-fortwo-13285631/,Hatchback
2026,Volkswagen,Golf,55295,10,white,https://www.carpages.ca/new-cars/british-columbia/surrey/2026-volkswagen-golf-13278506/,Hatchback
2019,Nissan,Versa,12999,90345,red,https://www.carpages.ca/used-cars/ontario/sarnia/2019-nissan-versa-13278323/,Hatchback
2019,Chevrolet,Spark,10500,75111,blue,https://www.carpages.ca/used-cars/alberta/calgary/2019-chevrolet-spark-13278218/,Hatchback
2020,Kia,Rio,16995,109389,silver,https://www.carpages.ca/used-cars/ontario/bowmanville/2020-kia-rio-13278119/,Hatchback
2009,Chevrolet,Aveo,8995,25000,silver,https://www.carpages.ca/used-cars/ontario/burlington/2009-chevrolet-aveo-13278113/,Hatchback
2022,Kia,Soul,18980,59355,white,https://www.carpages.ca/used-cars/ontario/north-york/2022-kia-soul-ev-13278098/,Hatchback
2015,Honda,Fit,11995,143328,black,https://www.carpages.ca/used-cars/ontario/orillia/2015-honda-fit-13278044/,Hatchback
